Date,Open,High,Low,Close,Adj_Close,Volume,ewma_3
2023-11-23,1193.88,1200.63,1193.88,1197.57,1189.47,455050.0,-0.0617986288768812
2023-11-24,1195.1,1201.2,1195.1,1197.15,1189.05,1169720.0,-0.0059896117537624
2023-11-28,1196.5,1199.4,1187.5,1197.28,1189.17,706244.0,0.0594282141849503
2023-11-29,1202.57,1205.88,1199.13,1200.25,1192.13,647564.0,0.0166798185184101
2023-11-30,1199.0,1200.25,1185.63,1188.2,1180.16,8752268.0,0.0427156540736405
2023-12-01,1190.5,1198.45,1190.0,1196.72,1188.63,5661114.0,-0.0164525878527188
2023-12-04,1220.03,1222.5,1197.5,1210.5,1202.31,12956730.0,0.0164186831782493
2023-12-05,1216.5,1220.25,1210.68,1218.78,1210.53,781640.0,0.0164186831782493
2023-12-06,1221.63,1236.8,1220.15,1230.35,1222.03,260700.0,0.0676806037129973
2023-12-07,1230.35,1230.53,1221.0,1228.8,1220.49,5782970.0,-0.0184155131840853
2023-12-08,1230.6,1237.85,1222.25,1228.1,1219.79,2214218.0,0.0356714478273169
2023-12-11,1226.07,1233.7,1226.07,1229.53,1221.21,339030.0,-0.0024981630517131
2023-12-12,1229.0,1232.45,1210.13,1211.97,1203.78,196210.0,0.0473404408965737
2023-12-13,1213.88,1219.0,1203.15,1216.7,1208.47,274592.0,0.0092735503451803
2023-12-14,1226.5,1237.5,1221.35,1232.25,1223.91,7295432.0,0.0529130966028852
2023-12-15,1236.07,1249.97,1234.53,1247.6,1239.16,1363156.0,0.0124308684115409
2023-12-18,1247.1,1267.2,1245.53,1259.97,1251.45,392356.0,-0.0903490205227633
2023-12-19,1268.85,1286.5,1262.93,1279.22,1270.57,468758.0,-0.0539343661910533
2023-12-20,1280.15,1298.93,1260.0,1263.68,1255.13,1298818.0,-0.0900588755284267
2023-12-21,1255.22,1286.25,1255.22,1281.1,1272.43,729590.0,-0.0423756521137071
2023-12-22,1281.1,1290.28,1274.0,1282.35,1273.67,1049116.0,-0.0926656424548284
2023-12-26,1285.0,1296.45,1281.5,1288.75,1280.03,180568.0,0.0219037160909763
2023-12-27,1289.25,1299.68,1286.13,1293.18,1284.43,207612.0,0.0655877333639055
2023-12-28,1293.5,1305.68,1293.5,1302.9,1294.09,367620.0,0.0073896267278111
2023-12-29,1304.03,1307.4,1289.57,1292.43,1283.68,1696896.0,0.0073896267278111
2024-01-01,1290.53,1303.0,1286.78,1294.93,1286.16,135282.0,-0.0192923767100422
2024-01-02,1293.82,1307.45,1286.75,1305.45,1296.62,172372.0,-0.0192923767100422
2024-01-03,1304.05,1317.0,1288.57,1291.47,1282.74,215002.0,-0.0066967234200845
2024-01-04,1294.7,1304.88,1290.0,1298.7,1289.91,325168.0,-0.0066967234200845
2024-01-05,1300.07,1309.72,1298.97,1303.38,1294.56,931030.0,-0.013047825721352
2024-01-08,1306.2,1316.0,1284.15,1293.05,1284.3,175002.0,-0.0133942547708164
2024-01-09,1298.68,1303.53,1288.13,1290.3,1281.57,280844.0,0.0841064409167342
2024-01-10,1290.3,1329.47,1288.65,1324.97,1316.01,916002.0,0.1104575048334683
2024-01-11,1327.85,1362.47,1327.85,1359.2,1350.0,688390.0,0.0773310133338735
2024-01-12,1359.2,1373.22,1345.78,1370.05,1360.78,1213012.0,0.087179316667747
2024-01-15,1373.45,1396.32,1366.0,1393.75,1384.32,243454.0,0.0553508596839533
2024-01-16,1390.93,1396.25,1370.5,1373.82,1364.53,307608.0,0.0698539829432528
2024-01-17,1364.93,1386.0,1355.5,1361.4,1352.19,231724.0,0.0423377717730115
2024-01-18,1350.0,1371.0,1350.0,1367.45,1358.2,317964.0,0.0495895428840924
2024-01-19,1376.5,1376.5,1358.43,1367.53,1358.27,966014.0,-0.0440560324636302
2024-01-23,1366.07,1371.38,1322.5,1328.0,1319.02,204594.0,-0.0080232587573345
2024-01-24,1330.0,1349.5,1324.5,1344.35,1335.25,546122.0,0.0359149864853309
2024-01-25,1342.25,1362.5,1335.03,1355.18,1346.01,4822230.0,0.0143090817223633
2024-01-29,1356.6,1452.5,1356.6,1448.07,1438.28,1647900.0,0.0611843831156266
2024-01-30,1452.7,1458.97,1404.38,1407.43,1397.9,606696.0,-0.1263995602999479
2024-01-31,1405.72,1434.72,1402.47,1426.6,1416.95,217408.0,-0.0472429011997918
2024-02-01,1435.6,1442.63,1418.35,1426.35,1416.7,176548.0,-0.0112989971933387
2024-02-02,1432.22,1474.95,1432.22,1457.38,1447.52,1307244.0,-0.0235331705733548
2024-02-05,1460.6,1470.0,1432.0,1438.53,1428.79,256144.0,-0.0240445110788471
2024-02-06,1443.7,1443.7,1420.4,1428.4,1418.74,230162.0,0.0142326113692228
2024-02-07,1435.0,1449.0,1429.22,1441.7,1431.95,641024.0,0.0329651697384457
2024-02-08,1447.8,1459.88,1428.35,1451.47,1441.65,197698.0,0.0238061594768915
2024-02-09,1452.5,1472.07,1451.3,1461.15,1451.26,1624342.0,0.0428866478151326
2024-02-12,1461.15,1461.18,1442.5,1451.47,1441.65,294412.0,0.0117634010421222
2024-02-13,1455.2,1478.9,1454.7,1464.47,1454.57,645804.0,-0.0268017249157554
2024-02-14,1455.7,1483.3,1455.7,1481.3,1471.28,245414.0,0.0514190553916503
2024-02-15,1481.7,1484.2,1466.45,1470.95,1461.0,163762.0,0.0582497325666012
2024-02-16,1472.53,1476.65,1458.68,1460.68,1450.79,1085862.0,0.0248174282664051
2024-02-19,1460.68,1479.4,1453.78,1473.07,1463.11,326882.0,-0.0026488978687589
2024-02-20,1474.95,1474.95,1462.0,1470.38,1460.43,208860.0,-0.0729406959500715
2024-02-21,1471.93,1488.5,1458.07,1469.1,1459.16,206810.0,-0.0656435019001431
2024-02-22,1468.97,1484.55,1458.0,1481.68,1471.65,425194.0,-0.0618536876005724
2024-02-23,1485.7,1498.07,1482.63,1493.18,1483.07,1306002.0,-0.0414033716091598
2024-02-26,1494.88,1494.88,1482.28,1487.18,1477.11,81748.0,0.0150754419267214
2024-02-27,1484.4,1499.93,1478.0,1485.2,1475.15,166422.0,-0.0164003961724568
2024-02-28,1482.45,1491.0,1450.28,1454.5,1444.66,128666.0,0.0192547256203449
2024-02-29,1465.53,1479.0,1454.78,1462.38,1452.48,384752.0,-0.0155217001186203
2024-03-01,1458.35,1499.5,1458.35,1493.0,1482.9,1088814.0,0.0050208865327442
2024-03-04,1490.5,1512.4,1487.53,1505.8,1495.61,279590.0,0.0202041347650596
2024-03-05,1505.85,1505.85,1486.5,1499.15,1489.01,141856.0,-0.0094487064698805
2024-03-06,1494.72,1509.5,1478.5,1502.97,1492.81,220042.0,0.0586618337105664
2024-03-07,1501.07,1502.95,1475.63,1479.05,1469.04,774104.0,-0.006759289157734
2024-03-11,1492.35,1492.35,1463.68,1465.6,1455.68,223174.0,0.0174239466200794
2024-03-12,1466.0,1488.15,1466.0,1475.1,1465.12,167000.0,-0.0023471015196821
2024-03-13,1477.72,1482.97,1427.93,1432.35,1422.66,195914.0,0.0052003374606357
2024-03-14,1432.5,1448.68,1425.5,1432.63,1422.93,325274.0,-0.0045932683149138
2024-03-15,1427.47,1433.22,1413.45,1418.63,1409.03,792002.0,-0.0161581392358893
2024-03-18,1418.6,1441.5,1416.82,1439.18,1429.44,292820.0,-0.0592452575484578
2024-03-19,1432.8,1436.8,1417.5,1425.38,1415.73,256412.0,-0.0752436471938313
2024-03-20,1425.53,1445.1,1424.03,1443.4,1433.63,305812.0,-0.0464640775506506
2024-03-21,1445.7,1457.5,1444.82,1450.65,1440.84,154182.0,-0.1900087004052051
2024-03-22,1448.53,1460.0,1447.68,1454.95,1445.11,1124968.0,0.0007627583791794
2024-03-26,1444.3,1452.63,1438.5,1442.07,1432.32,1887730.0,0.0237207830334355
2024-03-27,1449.82,1499.95,1448.95,1493.93,1483.82,942050.0,0.0278996540668711
2024-03-28,1497.18,1505.63,1479.5,1488.4,1478.33,844526.0,0.0259284702674845
2024-04-01,1492.5,1494.25,1482.5,1484.75,1474.7,458710.0,-0.0060655292957801
2024-04-02,1484.75,1493.95,1475.0,1485.65,1475.6,237050.0,0.0486209928168794
2024-04-03,1483.45,1483.45,1469.0,1471.2,1461.25,254218.0,0.0750329916337589
2024-04-04,1479.28,1479.28,1450.25,1463.22,1453.33,209180.0,0.0184492590700714
2024-04-05,1464.0,1470.75,1455.95,1459.97,1450.1,862624.0,0.0184492590700714
2024-04-08,1461.7,1490.25,1461.7,1485.5,1475.45,296784.0,-0.0230394214394287
2024-04-09,1487.5,1489.38,1462.5,1463.55,1453.65,119766.0,-0.007447950757715
2024-04-10,1474.97,1487.0,1467.28,1479.3,1469.29,328710.0,-0.007447950757715
2024-04-12,1477.5,1486.5,1462.85,1467.55,1457.62,1355896.0,-0.007447950757715
2024-04-15,1454.32,1482.25,1446.57,1466.45,1456.53,603980.0,0.0541868578765597
2024-04-16,1454.97,1471.0,1451.05,1467.22,1457.3,314104.0,0.0541868578765597
2024-04-18,1464.5,1485.75,1459.5,1464.07,1454.17,411428.0,0.0372898130499105
2024-04-19,1459.47,1473.5,1443.38,1470.8,1460.85,1061950.0,0.0758396297996419
2024-04-22,1475.0,1482.15,1468.3,1480.3,1470.29,351966.0,0.0758396297996419
2024-04-23,1484.28,1493.03,1456.25,1459.25,1449.38,546866.0,0.1719434515992839
2024-04-24,1461.15,1468.32,1449.35,1450.3,1440.49,156772.0,0.0239597757083487
2024-04-25,1444.0,1467.5,1442.6,1459.2,1449.33,385948.0,0.0413624213335801
2024-04-26,1462.57,1465.0,1450.0,1451.5,1441.68,901160.0,0.0233439166671602
2024-04-29,1451.47,1467.78,1450.05,1465.25,1455.34,389292.0,0.0349278946686409
2024-04-30,1465.45,1482.5,1463.5,1465.57,1455.66,474192.0,0.0099241646745635
2024-05-02,1472.68,1476.95,1463.82,1466.05,1456.13,249570.0,0.0250894686982543
2024-05-03,1469.28,1474.55,1416.35,1434.25,1424.55,687108.0,0.0250894686982543
2024-05-06,1437.5,1440.72,1418.13,1419.5,1409.9,286808.0,-0.0521556656558602
2024-05-07,1416.0,1420.38,1392.5,1401.97,1392.49,339140.0,0.0479263017062357
2024-05-08,1397.5,1433.47,1397.5,1418.47,1408.88,557738.0,-0.0367963603501137
2024-05-09,1429.5,1429.5,1390.0,1393.4,1383.97,212694.0,-0.0884874174009097
2024-05-10,1395.07,1410.68,1387.6,1407.57,1398.05,765576.0,0.0697742351854441
2024-05-13,1399.03,1406.57,1384.03,1402.65,1393.16,263134.0,0.0697742351854441
2024-05-14,1402.5,1427.03,1400.0,1419.9,1410.29,275234.0,0.0762706614835533
2024-05-15,1422.5,1429.7,1412.75,1415.57,1406.0,103644.0,-0.0032427740657865
2024-05-16,1417.5,1427.15,1398.3,1425.1,1415.46,142242.0,0.0588316118684268
2024-05-17,1421.18,1437.43,1413.0,1435.35,1425.64,830714.0,-0.0246522325262924
2024-05-21,1429.5,1441.5,1426.45,1435.65,1425.94,261814.0,0.0136830178948304
2024-05-22,1436.45,1468.4,1436.45,1460.38,1450.49,221684.0,-0.0158126498413568
2024-05-23,1459.15,1491.78,1456.0,1486.6,1476.54,394112.0,-0.1146339967308543
2024-05-24,1483.0,1488.5,1475.6,1479.9,1469.89,913194.0,-0.1269866176936699
2024-05-27,1480.4,1483.72,1462.0,1466.22,1456.31,269142.0,-0.1269866176936699
2024-05-28,1470.97,1478.5,1452.7,1455.63,1445.78,232640.0,-0.0928395174987197
2024-05-29,1448.5,1458.05,1438.5,1440.72,1430.98,130162.0,-0.0033490179948789
2024-05-30,1442.0,1442.0,1420.75,1425.0,1415.36,108264.0,-0.0168130071795158
2024-05-31,1432.32,1442.1,1421.63,1429.8,1420.13,1594572.0,-0.0148233469560648
2024-06-03,1487.45,1514.95,1459.0,1510.63,1500.4,630462.0,0.0203065674059244
2024-06-04,1503.97,1503.97,1359.57,1396.8,1387.35,2070856.0,0.0203065674059244
2024-06-05,1424.47,1430.68,1384.03,1421.07,1411.46,360172.0,0.0203065674059244
2024-06-06,1434.5,1443.0,1421.5,1431.88,1422.19,510756.0,-0.0294748587526048
2024-06-07,1429.0,1472.25,1426.47,1469.72,1459.78,1904410.0,-0.0031134835052096
2024-06-10,1471.88,1493.28,1467.78,1470.3,1460.35,174132.0,-0.0212435280208384
2024-06-11,1474.97,1474.97,1455.0,1456.75,1446.89,251936.0,-0.0319820390416769
2024-06-12,1456.75,1476.0,1455.5,1463.03,1453.13,345148.0,-0.0319820390416769
2024-06-13,1473.0,1473.0,1460.28,1464.32,1454.42,115126.0,0.0159879098931695
2024-06-14,1468.05,1479.35,1456.7,1477.28,1467.28,372690.0,0.015081489572678
2024-06-18,1485.1,1487.0,1470.6,1480.7,1470.68,216044.0,0.044464348325697
2024-06-19,1485.7,1487.6,1455.63,1458.6,1448.73,195016.0,0.0366287866513941
2024-06-20,1464.97,1482.45,1450.35,1473.2,1463.23,198244.0,0.0211752726055765
2024-06-21,1471.7,1474.53,1440.25,1453.4,1443.57,1794940.0,-0.0319895647888469
2024-06-24,1446.0,1449.5,1437.2,1441.5,1431.75,125386.0,-0.0319895647888469
2024-06-25,1447.5,1456.05,1441.7,1454.25,1444.41,419452.0,0.0195394567568962
2024-06-26,1449.97,1518.5,1445.07,1513.7,1503.46,1445392.0,0.0122916516206798
2024-06-27,1510.75,1537.5,1506.05,1530.55,1520.2,662220.0,-0.0321158375172806
2024-06-28,1530.47,1580.72,1530.47,1565.93,1555.33,2065782.0,-0.0204593062764908
2024-07-01,1564.97,1578.78,1555.2,1560.18,1549.62,375212.0,-0.0204593062764908
2024-07-02,1566.9,1575.0,1556.68,1566.15,1555.55,314216.0,0.0824623018940365
